year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2010,Deadwood,Premontane Rain,
2010,Deadwood,Tropical Dry,
2010,Deadwood,Tropical Moist,
2010,Deadwood,"Tropical Premontane Wet, Transition to Basal - Pacific",
2010,Deadwood,Tropical Wet,
2010,Litter,Premontane Rain,
2010,Litter,Tropical Dry,
2010,Litter,Tropical Moist,
2010,Litter,"Tropical Premontane Wet, Transition to Basal - Pacific",
2010,Litter,Tropical Wet,
2010,Soil Carbon,Premontane Rain,
2010,Soil Carbon,Tropical Dry,
2010,Soil Carbon,Tropical Moist,
2010,Soil Carbon,"Tropical Premontane Wet, Transition to Basal - Pacific",
2010,Soil Carbon,Tropical Wet,
2010,Total Biomass,Premontane Rain,
2010,Total Biomass,Tropical Dry,
2010,Total Biomass,Tropical Moist,
2010,Total Biomass,"Tropical Premontane Wet, Transition to Basal - Pacific",
2010,Total Biomass,Tropical Wet,
